"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56"
"SC160",-4.37324412093719,6.97392517089952,27.1681455463467,2.17530301609685,6.33033121705602,0.953485502679615,-3.12743400935259,1.49183206723822,17.7381056884252,8.5693937700965,-6.20260172997171,22.7473129247207,22.5419557653652,6.37217016736008,36.5101209457009,-1.11197870768463,2.02332358979381,-56.563768776253,3.51909715936602,1.30452394372625,-6.49663925558416,-3.33744122777903,32.5096330476968,-6.14603657067714,-12.3155818404833,27.5356340955173,-8.20614929300189,6.49969561846535,-11.0742103230547,-7.69826783189869,-2.78172691588211,0.190617099853078,6.76159084165785,-5.09918980935488,-16.8096294807604,-8.35578313055932,3.38777887073449,16.6371872171617,4.09849104051579,35.1955995734138,-23.8387438473694,38.5132751872724,-27.3259145210852,-2.75122737968206,26.5683625650545,-10.8603743388296,-13.9216883195437,6.12903287641998,-49.1510341088089,-8.33926948975797,-16.2391546076168,9.517895120024,13.6146262305308,9.50050363844809,-20.2985849555154,31.6353840347804
"SC163",-6.26573052522148,7.97293833633507,29.8429451093972,2.42698260592791,6.77737552936656,-0.069915333716298,-3.95757322747463,0.750185297490003,21.4263257404362,9.16922889179276,-8.16516020584949,24.6316048520062,25.2289131655104,6.86377164237401,41.537513950381,-1.01762115908391,1.98690358545705,-64.3267975295249,3.45511400362881,0.0572670799045568,-7.73032530689139,-4.00901415692381,35.9448894847806,-6.69195293069191,-14.0908160402402,30.5007513452203,-10.4455778266829,6.87720054317961,-11.8530414841528,-8.60901806156108,-4.6829583928572,0.604665000411518,7.58316834201254,-6.99809283493773,-18.4233530068095,-7.7630318237707,4.15000460177489,19.0792332350649,4.73346790148367,37.650008219752,-28.5039039284048,41.1993109441356,-30.6698904472819,-4.54810060718847,29.8816227906347,-11.8985312681619,-17.2248438275933,5.37037449754825,-56.0583669111855,-11.5972012267096,-19.5134083486909,10.4945360016418,16.4368422904669,8.18146407092631,-22.5200430550609,37.0120584598484
"SC169",-5.68454576088521,7.34881912559144,27.1618529495701,3.00740390874244,6.00187725316277,0.899359209588763,-3.91621218226141,1.74576118287545,18.6122736764951,8.69842177358819,-5.90705923178001,22.1736677813445,21.2909516690602,6.3765685924864,35.2621069657704,-0.0676606271262237,1.89960433389794,-56.1953105011891,3.21605402623696,1.40769539638632,-6.32705585882962,-2.87773591300913,31.9550433959935,-5.76002576184871,-13.1021198574566,27.0576756761202,-7.74096939684722,5.96108697391053,-10.9595282046386,-6.65081838531615,-2.35949023013049,1.00106929766572,6.79451686344714,-4.1579167991112,-16.4950129295647,-5.82191176780336,1.94166099564108,16.3764214253524,4.79887820900072,34.0894912787458,-25.494544022661,37.0657125454038,-27.1200400295463,-3.33169600069814,26.4976746699932,-10.3689535067467,-13.3852688304634,6.09860009219583,-48.6608540981018,-8.83776602743173,-15.9547745321529,9.59750117473995,14.6364839632832,9.96844466207712,-19.1874383071324,30.7390409011506
"SC164",-5.7158049382153,7.20299213563747,28.138796891054,2.22721222223469,5.94954172603961,0.892482447111345,-3.55381993135593,1.06707600744377,20.347950711867,8.81658069901119,-7.21113705621755,23.4572689330014,23.3706220805532,6.89632765001193,38.1817894220128,-0.884432692284912,1.71589904141067,-59.8010396372533,2.75189923764924,1.18897278199518,-6.9329375448282,-3.18657548440629,33.732318133732,-5.92252918270618,-12.7593269508124,28.6677197024481,-9.55562459102681,6.200403481866,-11.2222600491467,-8.27117944794793,-4.47266413453314,0.224683442035782,6.92971680563239,-6.06605775226096,-17.2012986614272,-7.66875530314496,1.92225003710743,17.3863975572384,4.60888242537058,34.8823218953104,-25.8486792488641,38.767689204685,-26.5577141117377,-4.06311368098765,28.0083478750391,-11.1865007977179,-16.5299875566625,5.95692297804533,-51.7793243951806,-9.82079058852213,-18.5380179905921,9.65618977725186,14.6465367584569,7.81590356034835,-20.5472276368872,33.7091781909534
"SC184",-6.46319845334245,9.92988645103301,33.9184080706453,4.11062798969844,7.40980739910467,1.30119515419677,-5.66851126016666,1.05405033232938,22.8458002192927,10.1204768419234,-8.20015427664312,26.456620440117,27.4547923456685,6.61129516629202,43.5231769271554,-1.12848004188255,2.13284255592979,-70.682124295588,3.93802734431415,1.48217325997314,-7.75115765222596,-3.89729733191906,38.7025712447971,-7.43219664375567,-15.9657229131759,32.6877824495175,-10.0270025123097,7.76695747510335,-12.4453069284722,-7.93322826253472,-4.10236305082794,1.36907613247198,8.04309538200612,-5.58147193501876,-19.9811430720052,-7.27090587060497,2.79232885645593,19.5109095438021,6.11266929039628,39.8362219254951,-30.5528588542255,43.7684202689776,-31.3101312068444,-4.92605989680483,32.4557383046457,-12.5205169569173,-17.317423203995,6.63757805879718,-60.2725554641677,-11.5541840505019,-20.5699168392291,11.1182745191242,16.9344570512923,10.2401960889958,-24.7230727975026,39.9378829946349
"SC202",-0.92250349007876,4.74577313061882,15.6230035276438,3.26884467453519,5.74105609515324,1.14459626019566,-1.48355738085443,0.906182396917923,9.62619583354323,5.9793824643061,-2.25027533413835,12.4992695699666,11.4328296465226,5.19171217019402,18.9392316025961,1.29640312383002,0.888944996201922,-27.1366948702642,3.5768279150767,1.33057357919288,-1.55363998098246,0.0987173026275113,16.8467930767855,-0.451079579684358,-4.30643542875994,15.1209914398641,-3.49613702112595,5.22964158330175,-4.67272688417026,-2.21085274912864,-0.508680095769269,0.818610414561956,3.70780202080228,-1.78195824874658,-7.55880844259432,-3.35708837349579,2.58103877944953,7.52866075584196,3.02326938982641,17.0661841628667,-10.7959589664641,20.207603578659,-8.85062734467746,-1.05143526761857,14.1061408694712,-5.19327295072978,-7.94379811513567,4.8690204076303,-23.2415908722274,-2.27814464283528,-7.27629323549982,5.78821612103624,7.54308650500673,4.87345662199155,-8.15403186550852,17.1792932477413
"SC212",-6.49421680266345,7.12735544992871,29.31545530402,1.46131845186745,6.59677728853316,-0.0569659527483122,-3.79298650726275,1.02728814675761,21.0257301008794,8.84200839554583,-8.55965286389985,23.9251730866777,25.4886966758709,6.89710262953781,40.7826683366133,-0.702215810909085,3.57791617050616,-64.0759664806414,3.8685172122403,0.0450850216728656,-7.75953063729701,-3.65535999216338,35.6905200180266,-6.3309500810955,-13.5932444383154,30.5061512348507,-9.98298905405779,6.49166425000745,-10.9448542565822,-9.59775275224266,-5.11300736584662,0.0573488493338129,8.26701774260552,-7.40100747626505,-17.736319403746,-7.89660404080142,3.48200989600474,18.0252175693534,5.47825116076133,37.1760303924837,-26.7428649774264,41.1374127657601,-28.1754317083516,-5.59167507431665,29.1198010788382,-11.6283421682143,-16.8359781448058,5.22568118240415,-55.8487599537706,-12.7797618220504,-20.0814849721064,10.1160970809986,16.2158110072801,7.50515235123649,-22.4720957678962,36.3385374616223
"SC226",-3.30489866638591,6.77547202090952,23.6254005729095,2.68350412557553,6.24058926396447,-0.0985836057878695,-3.03594859956985,1.0895479081742,15.5343563549352,8.61912816695764,-5.39913406281972,19.9989334949172,20.5394579359198,5.84295782772528,31.0280778614185,-0.811125835585025,2.27279028280683,-48.7283179867939,3.09110784771792,0.0797599963207536,-5.29484796328814,-2.75348047054592,28.134251880299,-3.86141934692867,-11.217394578928,24.9244681316567,-7.15755139052273,7.08935686414979,-9.48892555435746,-5.94879172999764,-2.1051316503942,0.536618369957042,6.20546235156695,-4.07930078232625,-14.3543894840026,-6.00860606526779,3.53434475464295,14.4118162728766,4.10222165307366,30.5085952137394,-21.0764769051157,33.3331022794383,-23.7736754926942,-1.68826467739126,23.0558735677708,-8.53552597967624,-12.2078519127212,4.0505199278201,-41.9553952960285,-8.90503770024245,-13.462761375957,9.14373644397921,11.6821184719865,8.27824415760983,-16.635157032578,28.5329243581917
"SC224",-6.44135583960512,9.02211192753308,33.2664987301071,3.6329756885184,8.12846343650223,1.13776860606304,-5.6264442602117,1.2438338642724,23.3514322539342,10.2542274828348,-8.54153807754077,27.3555939339523,29.5308867197002,6.70506581664606,46.0299084346542,-2.06530070100979,2.39136309784694,-73.4133069452788,4.46390639166387,1.37321314141593,-8.05745615208587,-4.17577474619295,40.2752860647122,-7.5304383195777,-16.5097033612007,33.84172273666,-11.0581915490169,7.59592210832072,-13.9520059628866,-8.44125222982435,-4.8055860842733,1.28057268663589,8.47987859789397,-6.33502508165929,-21.1045031514066,-8.57099248856999,2.07895605309306,20.8692140078934,5.06505669764993,42.9436430228564,-32.4052855003178,46.2527145151505,-34.2599121378147,-5.67809225983264,33.3976166062125,-14.4530692152283,-20.3151776421217,4.51952549294051,-62.3176319044879,-14.5382084856298,-22.3106229923491,12.4165580468589,17.442530592002,10.4341578908811,-25.8659899555736,40.5490160585814
"SC237",-3.58170439041079,7.38541586292537,25.3015194438474,2.83601770542007,7.16559585517693,1.10914747941979,-3.33878478894742,1.10139995460887,16.7334751812974,8.71875161556353,-4.37351184987119,20.8027609971518,20.9259265196062,5.91185232605125,33.6150975048887,-0.851734970386022,1.82375966569965,-51.2416822509074,5.33096477015161,1.25532843794716,-5.60631270644565,-2.627032217342,29.1642209877868,-4.62321606909132,-11.0449626734881,25.5995754194327,-7.07898659263502,7.78683644215395,-9.56195105843783,-5.79647385127585,-2.16680197808576,0.837484888709114,6.95440494964738,-3.38653997100758,-14.8097532514157,-5.89692009741985,2.95383763332502,14.9318523305382,4.90799911823694,32.2778880909772,-21.6733546362647,33.9493607863403,-24.8425736641299,-1.62581367029156,24.6719525150575,-10.3598921497336,-13.9344625065877,6.31569953715726,-44.0273263680246,-6.926111272355,-14.5427317832479,9.26273361713986,13.5114843802467,8.88439946288822,-18.0677453714778,30.9766333269932
