"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17"
"SC297",0.443251699985375,0.0699644820564486,-0.626400376790077,-1.69144323400932,-0.77535614401541,-0.403674840348353,-0.399468531523844,-1.29146291019366,0.479003615694081,1.53107301780677,0.386614199211772,0.23338673961416,-1.44151693413712,-0.719352312670628,0.105906167478871,0.986815927147763,-0.327110784111374
"HSK053",0.757984251986614,-1.01351861327515,0.555666489617823,-1.07089163212361,0.805400246764518,0.151969448623138,-0.391024113282836,-0.789895424998036,0.102582352530508,-0.93260779835274,-1.3412972058737,0.214959335660925,0.802095191606614,1.07876887694399,-0.589865619708877,-0.534039359484771,-0.0224352336967739
"HSK054",0.261058514550002,1.32580435398678,-0.982661337430836,0.318789071006906,0.745157979985035,-1.66988374829533,-0.0563186314052622,-0.00999641918685076,-0.841128140626336,0.486453956731714,0.992320577247869,-0.298797390938788,-0.0649905037332575,-0.154467374772135,-0.437198034684383,0.540476912273667,-0.0142766175505223
"PHC003",-1.10367869368203,-1.07658601195647,-1.58055583760571,-1.17141234976695,-1.34265487416418,-0.549244632220362,-0.0787898561070645,-1.37239968835625,0.220352802923981,0.0437526217985478,0.52968556077047,0.108996362947996,0.532928293044091,1.57440606446171,0.429781201559749,0.866382973696598,-0.310561381996968
"SC50",1.05709284079854,0.378023606480712,0.690003572538229,-1.76569915710408,-0.30264859584917,0.515985822225259,1.13572042514247,-0.0116413005380464,0.961856803243148,0.979210818334537,0.915651750121072,0.0755815537304405,0.837948036170871,2.03898916715537,0.836753963799184,0.879828671512337,-0.0486977469214332
"SC68",1.03998498748365,0.342410893025716,-0.338141564886693,0.206710794289595,0.209567447641113,-0.038315446796344,1.06519019007855,0.838630522126865,0.934911978537542,0.958267441670708,0.62167631454808,0.571932375919441,0.194277591171091,-0.697430803642224,-0.586354344290814,-1.00502597469758,-0.112364420335106
"SC124",0.846756035372593,0.109206734984865,-0.0835693189513365,-0.32157224618905,0.31608657396106,0.0530692931961977,0.571240782028259,-0.583041709771743,0.430752445468942,0.705720894123029,0.82328286459659,0.0593886123314237,0.181702754201023,0.924165507916884,0.106182374923276,0.793306359916711,-0.0819591308371486
"SC125",0.765617635506557,0.460046766414342,0.0971100956835874,-0.794111332591005,0.338420094370089,-0.211259593879716,-0.495770529191685,0.756116551349734,0.98696362979914,0.809149850485817,0.724217985289936,-0.0130391633371396,-1.18684230438096,-0.598408083978327,-0.536766907701824,-1.01723579526206,-0.012479162436443
"SC1",1.05438442023028,0.287806200056209,-1.21769245029162,-0.106177535276518,-0.646478801091581,1.01286288330687,-1.03054050008939,0.289059479557937,0.0120430773022029,-0.812055085956836,0.752668025472999,-0.592563288573748,0.279310824652447,-0.530594956072456,-0.49287389147644,0.628485575638792,-0.196768456543616
"SC4",0.748032255343318,0.55759984167668,-1.6482567679915,0.135000206686025,-0.699235098673114,-0.227315815533318,-0.546160513064507,1.12807333471853,1.03094334410014,-0.720084092041297,1.0503578839103,-0.149770170850236,-1.4057422734647,-0.714972327505146,-0.794827259024963,-1.01950096172251,-0.290944332925776
