"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31"
"SC160",2.68231188198912,3.38757759996824,0.908230449860867,0.272966168622641,0.13712481093696,-0.571824488821907,0.463795578146905,-0.855181310767853,0.955433654541724,1.34695417951289,3.8415690045344,1.79006620004556,1.91801179233163,2.95143785603099,3.19908867061615,1.93624229650156,1.29971424866518,0.448171085722213,-0.0875560061302993,2.33930653104076,2.1178826614693,2.444444113765,0.279679808829205,5.48172775403133,2.77560050448517,2.83314893871974,0.0930750374349833,3.29667650209424,2.59208716980476,1.05093975739602,2.15596134341615
"SC163",1.82162042131728,3.16796005440646,0.76689350762775,-0.267871081405775,0.162282733522735,-0.498992387861729,0.52188138062684,-0.333981314967794,0.599272597145566,1.33998699352325,3.31739782833278,2.01114300314805,2.4098675575854,3.05346486841109,3.1400866736192,1.38297830896504,1.47243107273793,0.708204287883248,1.55206647585794,3.10455679152571,2.37805172032826,2.83683955116127,-0.377145302685718,4.45381662899846,1.46065025367909,2.59749040245103,0.935256937930025,2.35951796196978,3.29381916373414,-0.0083901142943637,1.78431194345003
"SC169",1.32558881604857,2.42720671576673,0.95336333768034,0.572119342920878,0.387457291903919,0.197942400028461,0.471671390086274,-1.2418606372084,0.763262268619434,1.41442431941022,3.7177064486702,1.6571100800498,1.93455063973395,2.01584813479388,3.31304280937802,1.28013736767317,1.88696276724663,0.463270495839814,2.33192953300822,1.16462740389006,2.29698115713264,3.36403652921603,0.190667897390634,5.90214958698784,2.5740973412042,2.83973228154418,0.723521687770516,3.41526257319064,3.32915211556322,1.29053011538789,1.82712339099086
"SC164",1.73968991334607,3.15661791168212,0.0814291927210299,0.0113050039120891,-0.0904347478527633,-0.66561222428439,0.566438188408222,-0.8194099048929,0.836691302988449,1.53698293836173,3.52416562780037,1.4115970784442,2.436846388613,2.93559757852577,3.43712707232684,1.40358861767634,1.14615004520219,0.542821150802769,1.0909643547458,0.994916524424627,2.21751416388005,2.93751780199214,0.206664825354261,4.28802621243783,2.18975484630008,2.50754545398851,0.272675867038205,2.43421825092556,3.28914439051981,1.14661511064841,1.83640906953173
"SC184",2.33585152532461,1.96026351312994,0.967624732021001,0.174606005895202,0.45947893716512,-0.0875587299678299,0.710191305247311,-1.36212826148289,0.921730763061852,1.58397035398715,3.31903535682576,2.04022267004798,2.47689193581368,1.96327909823852,2.93650650162532,2.03683086371964,2.65011678905714,0.922634960905286,2.92570726972963,1.93947951062853,1.68483683161453,3.74276924492716,0.0316235859597644,5.74960044072679,2.45459922663111,2.8137644110145,0.564757278162819,3.37811005421486,2.67646424951454,1.52930876269823,1.79212920386463
"SC202",2.14543196548953,2.33759137669362,2.02712328713234,-0.270894200271261,0.482892008996727,-0.0568011878643391,0.913977849216489,-0.660103046372301,2.39867778000979,1.73673660158511,3.45298447699345,2.91278591798134,2.79679274968108,2.60243127872221,3.24032046658234,3.64598509372064,1.91924889949985,0.805034918255649,0.83376457459017,2.07462108146388,1.54000454224233,3.09345828603545,1.19018086630046,3.61981724701392,2.82376581969874,2.84595612073053,0.500030574730718,2.57795587700774,2.62195871205887,1.31593754185722,2.07616395364696
"SC212",1.59979697414345,3.22758898263977,0.572158084254697,0.0740118391206182,0.246983496602775,-0.102285073355143,2.21658216955955,-0.603832367319106,0.433762043493822,1.49034834409987,3.22318174404763,2.19898313006298,2.77667320131215,3.17761323577844,3.2760374668966,1.10323431192139,0.757400593033129,1.26242231332044,1.25343948209739,2.80755631710347,1.39742487379668,3.55024237293765,0.566494392588024,4.40484946248154,0.827604995468171,2.27182060435499,0.602667208980422,1.93354827077458,3.02170661552564,-0.0184648510373921,2.00135907101394
"SC226",2.71899024738692,2.77196970682262,1.47762945879466,0.295350703317884,0.0229716828658537,-0.253339951702871,0.712399928910127,-0.498556712277072,0.851242439080128,1.24192503073308,3.30210977582262,1.71396164432395,3.0710556457072,2.19364064578294,3.11269918151625,3.27292274020022,1.74252720823056,0.538979958626909,1.14496153001961,2.47951632246274,1.85038782890917,2.5516248647858,0.258671272402341,4.33107876624273,0.893822002636399,3.26602597107547,0.266528953365172,3.1416529205872,3.12094780560064,-0.00990127130324824,1.91726451156238
"SC224",2.68669229197986,2.34863788703525,1.14829209847939,-0.280715110234938,-0.291042578637027,-1.05405822069575,0.505946141085372,-1.91954250185361,1.13825192946916,1.78047476380295,3.64349598100531,2.37683863806883,2.8264853613181,2.89817767286338,2.9170959825241,1.6053556909662,2.39033123319442,0.523982302250699,2.29276959694798,1.06167010579644,2.23704017140135,2.65614086105391,-0.22052910920567,3.65696138573692,0.134481997922983,4.03275634199376,0.368568338420838,2.99744934638739,2.84079583613557,1.28972919844262,1.8982680329753
"SC237",2.82494591352806,2.46577518044106,2.08738972496632,0.0217559459641099,0.265202996599102,-0.541353089728987,0.488167573606316,-0.30306739869244,1.21398358850774,1.4640219676625,3.22865479385698,3.69693930953029,2.75015580539849,2.86052807029837,2.97982914428507,3.53741886146024,2.02564811622313,0.9830449181096,1.57576456931776,2.23560531777498,1.56418511454507,3.48868444044648,0.233976266813732,3.81568152157208,3.19656201273488,3.00448657306726,1.1174657613946,3.42678378938427,2.81058994511587,1.25892268548297,1.79243839594241
