"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56"
"SC184",-1.85042450428262,6.61581306740448,20.3248958763242,4.11294848484195,5.15916954624748,1.28545497502956,-2.6463761473316,1.20866144094624,12.6668321893343,7.31095794398375,-3.20646632092298,15.6487487887692,14.6693508751935,5.06910658673193,23.1488414985444,0.678531554560475,0.946284948797044,-36.4223767285499,2.92722703302065,1.49051500911042,-3.81683206257047,-0.746741205805779,21.2176516744361,-2.13245847784206,-7.08210206146266,18.9628604552686,-4.30031068320861,4.45978181602877,-5.82896180520603,-2.58726815965191,-0.593794729091911,1.39153719938045,4.48289871773228,-0.98777000399434,-10.1142606321886,-2.56794194639611,2.47544348310813,9.87269109216592,4.17142585946856,20.88109939122,-15.8030065179263,23.514488095309,-14.3530603857956,-1.95449217595268,18.3280506849644,-5.95248386192801,-8.38605221193784,4.8000646975709,-30.2620618969776,-4.12152283403504,-9.43809949747509,6.71281018916971,9.30220623785629,7.0678981140566,-11.2962676544778,22.2623801581431
"SC202",0.984538576233382,3.37691016336394,10.0792557228416,3.27900025546051,4.83335919401995,1.1329375685069,-0.230029526779078,0.957036227052811,5.45300118090432,4.84092037842235,-0.220528785507004,8.05783883570492,6.17520012440838,4.5512718595555,10.5268406671749,2.0548780617986,0.362254508280336,-13.028938744318,3.14006681070625,1.33748852326482,0.0810175625432763,1.41876530273599,9.64257408528692,1.7423103411798,-0.619847683645092,9.50672916031368,-1.14303931258763,3.84330145723596,-1.91831194575679,-0.00272192466030252,0.918175646103861,0.816014716913038,2.21334198385937,0.110854257448183,-3.47646907120331,-1.41380553571633,2.43493439897876,3.51655268955914,2.21574262627667,9.11848207844488,-4.7100775159831,11.7964410697477,-1.69903677793113,0.0842882372108206,8.27567485998281,-2.45557142877259,-4.29567021646861,4.12937599877612,-10.8823229035645,0.781411345572046,-2.69468060297608,3.96554122420944,4.40858404976213,3.54631468889701,-2.59533451280681,9.96093040661762
"SC212",-2.21080366873436,4.05006850863742,16.6894872448727,1.46322475073323,4.50977148267699,-0.0711160112976291,-0.984810146954724,1.17104379964095,11.573710084989,6.24102974711468,-3.92354184411564,13.8862093851936,13.5961469531327,5.46173310279499,21.8600611914774,0.979013337868828,2.46804878261692,-32.2674131279351,2.92883018966549,0.0548917046020493,-4.10059682552858,-0.72609851645007,19.4592283952661,-1.40167400747412,-5.33785401817738,17.7671790528847,-4.65782446133427,3.41931956344781,-4.80209331696931,-4.62835230574215,-1.85409574750416,0.0854816790281846,4.9624475105391,-3.13433311045944,-8.58310530818819,-3.52655285502857,3.18648804307013,9.06704187556969,3.67712593967726,19.5412117567086,-13.0475779514294,22.3117174276552,-12.3943535683009,-2.81666865482814,16.0199247608811,-5.52703464099093,-8.53626017386222,3.52458508631411,-27.9926464096187,-5.88826878533627,-9.73563779404832,6.02577728514915,9.12852636406265,4.56709403665495,-9.99686014197853,19.9293556924993
"SC226",0.0399473389953636,4.36697640360518,13.7584860417218,2.6857828176841,4.61742446621602,-0.110504968642236,-0.846676529341863,1.20247807651998,8.17503854450315,6.59031556469412,-1.78775405250879,12.161072853175,11.22469648603,4.73266009969307,16.2575424982097,0.509726197664023,1.40714064728624,-23.8895785538046,2.35316457504842,0.0883580642670744,-2.4515377155956,-0.472452405887519,15.4523084609781,-0.00575050918679865,-4.77234682941823,14.9896575098192,-3.00928871300639,4.69198473861368,-4.69333828542703,-2.07692272974488,0.44039521634694,0.566615528920803,3.62578007189673,-0.765647469420148,-7.195155321816,-2.58997147688415,3.30660965229481,7.4241786371392,2.69274319783009,16.7269064969465,-10.389253869906,18.6404257316896,-11.4590450727053,0.476183771304246,12.8215802841871,-3.77511945050628,-5.73292579588142,2.73287606458984,-20.2303819953949,-3.5457294140903,-5.39224411464239,5.96066400670356,6.17007142588518,5.98813246865376,-6.91855649682268,15.7448089401233
"SC224",-1.64651224589844,5.57904960031386,19.0984150110364,3.6313766185183,5.77591658518955,1.12465455236222,-2.4883273362129,1.41178549388833,12.759631877896,7.33449560590647,-3.34291105286136,16.1101956483386,16.2263990085859,5.10561447339107,24.850807336496,-0.190046010117772,1.17621819044836,-37.7814944627891,3.42276628537923,1.3797577902225,-3.97027515700658,-0.915113165561638,22.0942334352321,-2.01936808837444,-7.29158497363328,19.5714974808599,-5.10726900779895,4.16611959427121,-7.08725649831828,-2.88692215015878,-1.14818334971574,1.31363978640948,4.79188696205033,-1.56923606765018,-10.859420834497,-3.68392662166274,1.76074985871709,10.856230672839,3.04940980783616,23.2983803015371,-17.0880416709219,25.2280664754468,-16.7140280581756,-2.5489187607136,18.7115602652657,-7.63331891830606,-11.0029898084929,2.6006018479768,-31.0994578250217,-6.80804150754531,-10.7325053462653,7.82620903214845,9.50857212882599,7.15516912497624,-11.9243697627775,22.1466581580649
"SC237",-0.115925544478242,4.89679591722084,15.0245885040372,2.83198555037898,5.45522171134065,1.09584792980463,-1.06573736119261,1.22655350894565,9.07939446706756,6.61164495508083,-0.628005779022875,12.6755131299294,11.3185934693959,4.75590168243611,18.3150280419816,0.481033125175306,0.973155042763572,-25.492288382493,4.5804987979038,1.26342722905461,-2.65201778641191,-0.277629492568492,16.0298794824348,-0.648733772543034,-4.41903113544476,15.3135514506313,-2.78332598069866,5.31282798636445,-4.62266747349289,-1.79105300443689,0.483062804352607,0.87365371532045,4.31133314236804,0.00879324649555735,-7.42502863180741,-2.35220075243387,2.73924289794009,7.71529971806977,3.45760167178084,18.1634889450132,-10.6160783174341,18.7914789362054,-12.2776380644683,0.583117092973528,14.0399729025683,-5.43681839586094,-7.20065547570747,4.92043817626242,-21.4428594190971,-1.32646651067358,-6.17344592397226,5.95885573012844,7.79888408844209,6.54416977197999,-8.00866920879393,17.6568995784095
"SC247",-0.794099698967044,5.49892175418077,17.3330560673952,3.24739854635941,4.57198502752316,-0.137522499599559,-1.89755919797102,1.2135759926834,10.5573064602687,7.30610581261468,-2.26622248334085,14.4855091652103,13.909746931828,4.75296696344425,20.8508483817127,0.244008836328838,1.0954301898839,-30.757713113502,2.91051358343173,0.108051946226293,-3.17002633568207,-0.820959518335749,18.8549956173853,-1.13458252504692,-5.58255820759026,17.7011554496093,-3.44741568913321,5.50765047072712,-4.95873100582876,-2.58284985138165,0.125280342276372,1.06353845882318,4.31533231762123,-0.827687779031954,-8.4680455600137,-3.23396837231511,2.90316006098265,8.79894123102917,3.92406119684004,20.3075613303485,-12.396254411214,22.4701409728008,-13.245779566133,-0.838930467149039,13.690451999159,-4.38224337312874,-7.66104850268787,5.30644456399992,-27.6604535866951,-2.49944681175627,-7.59655353002508,6.09140469561511,7.60046155476757,6.86003830671607,-9.39529115558036,20.7802272423752
"SC229",-1.98303657358566,4.68783838344006,15.2925648935083,2.30941816790039,3.94559414858911,1.04061452647152,-1.48015034373538,0.581447309839224,10.9131221423062,5.28475804367081,-3.59968758924326,12.9658559334582,13.3532265866944,5.04906323029888,21.932374451211,-0.30535543929022,1.53348143819541,-30.6452541673612,3.26837999680099,1.27963726449009,-4.00442392965023,-0.876028959971215,18.8770839043918,-1.48068249337386,-6.36903747743079,17.5428702323699,-4.72360634634911,3.85340165617515,-6.12018426947687,-4.31942612584475,-1.95958736855806,0.454758128804513,4.55765100212171,-2.77814227699193,-8.98587365500738,-3.36830050193579,3.70177024150026,9.22391603416041,2.95377544123988,21.5394789581617,-13.6712329165615,22.8186508126547,-15.0141217611718,-2.20215014155267,15.9653893249976,-5.58576483887156,-9.06348159984477,2.95141645629144,-25.8708603931321,-5.1176985468851,-8.46605831540266,6.12932415849666,10.0403933817311,4.70140121021771,-9.56675665950732,19.068229155341
"SC230",0.0113369271721319,5.73258476762153,15.4936448991134,4.0204845771439,5.7998550469521,-0.15272784906413,-1.9927817010609,0.877788311957573,10.6850620095963,5.13724193810396,-3.52198319115371,11.8731394125416,12.0964623518768,4.25959435294345,18.8692481294838,1.44613801724157,0.522405253297269,-27.4790880765197,2.06646019339927,0.116257379655573,-1.63112840414028,-1.46997871645058,17.6174590163938,-0.904701238839103,-4.9356669158104,16.4848893642819,-3.08074389934112,5.54231909468163,-2.57499973117497,-1.15333881011507,-0.359276671014752,1.72122074449943,4.18441846664388,-2.89304133063274,-8.07070205698761,-2.85038358696778,3.59852044494911,8.88932637358982,4.03859573012748,17.3820694053415,-11.3156691404803,18.4824487698546,-10.4266599460119,-1.36958214558423,14.6413038660822,-4.75194266432099,-7.74415383863914,4.32817946107459,-24.0545952783333,-2.61737678923355,-8.48545797794883,6.03759699252418,8.16051227596918,3.57243760860694,-9.19494113782052,18.5585090164189
"SC240",0.897306606100816,5.03804980006552,14.2365288465995,3.2738660219895,5.5081186021451,1.1063101027006,-1.58175150661837,1.37959366198784,9.26937272206625,5.62367467715335,-3.09809838697749,12.1308281151834,12.4020024562989,5.05940377063811,18.9652851992696,1.97145909626369,2.37887049384545,-26.9336026898581,3.83049355111325,1.47271259013436,-1.25947850764712,-1.24519942967385,17.4306174967041,-0.848053388094532,-5.19534645706544,16.4681335471645,-3.17018281578955,6.08189582053038,-5.24186289566333,-2.16793796012363,-0.751488806363676,1.39890273944415,4.83921034881063,-2.72566971369554,-8.2781293373424,-2.2408400172942,3.17860634995486,10.8669834146274,3.93950132429987,20.8010134781375,-11.4921826652918,21.0552131012142,-13.5479853077592,0.191574327253321,14.0251778592385,-6.41088018169842,-6.41839451884436,4.98332394611403,-24.6168717020251,-1.27774597875679,-8.24984893350532,5.79937200171342,7.98884057231172,4.68378448125238,-9.28579556537602,16.5201473029528
